登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E10459,1,4,multimedia,名詞,マルチメディア,"the use of sound, pictures, and text together",The lesson used multimedia to explain the topic.,その授業はテーマの説明にマルチメディアを使った。,multi（多くの）+ media。形容詞としても使う。,0,
E10460,1,4,multinational,形容詞,多国籍の,operating in many different countries,She works for a multinational company.,彼女は多国籍企業で働いている。,名詞でも「多国籍企業」を指す。multi は「多い」の意味。,0,
E10461,1,4,oasis,名詞,オアシス、安らぎの場,a place with water in a desert; a pleasant refuge,The garden is an oasis in the busy city.,その庭は忙しい街の中のオアシスだ。,複数形は oases。比喩で「心休まる場所」の意味でよく使う。,0,
E10462,1,4,pagan,形容詞,異教の,relating to old religions before Christianity,The festival has pagan roots.,その祭りには異教起源がある。,名詞で「異教徒」。歴史や文化の説明でよく出る語。,0,
E10463,1,4,planetary,形容詞,惑星の、地球規模の,relating to a planet,The probe studied planetary rings from close range.,探査機は近距離から惑星の環を調べた。,planet の形容詞形。planetary system は「惑星系」。,0,
E10464,1,4,playboy,名詞,遊び人、プレイボーイ,a rich man who spends his time enjoying himself,The novel follows a bored young playboy.,その小説は退屈した若い遊び人を描く。,遊びと女性関係にお金を使う男性を指す。やや古めかしい語。,0,
E10465,1,4,porcelain,名詞,磁器、陶磁器,a hard white material used for cups and plates,She collects old Chinese porcelain.,彼女は古い中国の磁器を集めている。,発音は「ポースリン」。より一般的な焼き物は pottery。,0,
E10466,1,4,psalm,名詞,賛美歌、詩編,a religious song or poem from the Bible,The choir sang a psalm at the service.,聖歌隊は礼拝で詩編を歌った。,p も l も発音せず「サーム」と読む。旧約聖書の一書の名前。,0,
E10467,1,4,psychiatry,名詞,精神医学,the branch of medicine that treats mental illness,He decided to specialize in psychiatry.,彼は精神医学を専門にすることに決めた。,医師は psychiatrist。心理学 psychology とは別の分野。,0,
E10468,1,4,pursuant,形容詞,～に従って,following or in agreement with a rule or law,The company acted pursuant to the court order.,その会社は裁判所の命令に従って行動した。,pursuant to ～の形で使う。契約書や法律文書の固い表現。,0,
E10469,1,4,repetitive,形容詞,繰り返しの多い、単調な,doing the same thing again and again,Factory work can be dull and repetitive.,工場の仕事は退屈で単調なことがある。,repeat の形容詞形。repetitive strain injury は「反復性緊張障害」。,0,
E10470,1,4,reversal,名詞,逆転、反転,a complete change to the opposite,The court announced a reversal of the earlier ruling.,裁判所は以前の判決の逆転を発表した。,動詞は reverse。判決や方針の転換によく使う。,0,
E10471,1,4,rhyme,名詞,韻、押韻,words that end with the same sound,Children love the rhyme in that old song.,子どもたちはその古い歌の韻を気に入っている。,nursery rhyme は「わらべ歌」。動詞で「韻を踏む」とも使う。,0,
E10472,1,4,schizophrenia,名詞,統合失調症,a serious mental illness affecting thoughts and feelings,New drugs help many people with schizophrenia.,新しい薬は統合失調症の多くの人を助けている。,発音は「スキツォフリーニア」に近い。ギリシャ語で「分かれた心」。,0,
E10473,1,4,seriousness,名詞,深刻さ、真剣さ,the quality of being important or not joking,He did not grasp the seriousness of the problem.,彼はその問題の深刻さを理解していなかった。,serious の名詞形。事の重大さにも人の態度にも使う。,0,
E10474,1,4,spree,名詞,度を越した行為、～しまくること,a short period of doing something a lot,She went on a shopping spree after payday.,彼女は給料日の後に買い物三昧をした。,go on a spree の形で使う。shopping spree が最も一般的。,0,
E10475,1,4,sweaty,形容詞,汗まみれの,covered with sweat,He came home sweaty after the long run.,彼は長い距離を走った後、汗まみれで帰宅した。,名詞は sweat（汗）。sweater（セーター）も同じ語源。,0,
E10476,1,4,tame,形容詞,飼いならされた、おとなしい,not wild and not afraid of people,The deer in the park are quite tame.,公園の鹿はかなり人になれている。,動詞で「飼いならす」。話が「刺激に欠ける」意味にも使う。,0,
E10477,1,4,upstream,副詞,上流へ、川上に,toward the source of a river,The salmon swim upstream to lay eggs.,サケは卵を産むために川を上る。,反対語は downstream。工程の「川上」の意味でも使う。,0,
E10478,1,4,vapor,名詞,蒸気、水蒸気,a gas formed when a liquid becomes warm,Water vapor rose from the hot spring.,温泉から水蒸気が立ち上った。,イギリス式は vapour。動詞は vaporize（蒸発させる）。,0,
E10479,1,4,waitress,名詞,ウエートレス、女性の給仕,a woman who serves food in a restaurant,The waitress brought us fresh bread.,ウエートレスが焼きたてのパンを持ってきた。,近年は男女とも server と呼ぶことが増えている。,0,
E10480,1,4,waterfront,名詞,水辺の地区、湾岸,the part of a town next to water,New cafes opened along the waterfront.,水辺沿いに新しい喫茶店が開店した。,港や湖のそばの再開発地区を指すことが多い。,0,
E10481,1,4,educator,名詞,教育者,a person whose job is teaching or shaping education,Educators debated the new grading system.,教育者たちは新しい成績評価制度について議論した。,teacher より広く、教育行政や研究に関わる人も含む。,0,
E10482,1,4,comrade,名詞,仲間、同志,a friend who shares your work or beliefs,He remembered his comrades from the army.,彼は軍隊時代の仲間を思い出した。,社会主義の呼びかけ語としても有名。戦友の意味でも使う。,0,
E10483,1,4,acquaintance,名詞,知人、面識,someone you know a little but not well,She is an acquaintance from my old office.,彼女は前の職場の知人です。,friend より距離がある関係。make the acquaintance of は固い表現。,0,
E10484,1,4,ambush,名詞,待ち伏せ攻撃,a surprise attack from a hidden place,The convoy was hit by an ambush at dawn.,その車列は夜明けに待ち伏せ攻撃を受けた。,動詞でも使う。報道では突然の質問攻めの比喩にも用いる。,0,
E10485,1,4,arrogance,名詞,傲慢さ,the quality of thinking you are better than others,His arrogance annoyed the whole team.,彼の傲慢さはチーム全体をいらだたせた。,形容詞は arrogant。confidence（自信）との違いに注意。,0,
E10486,1,4,baptism,名詞,洗礼,a Christian ceremony of touching someone with water,The baby's baptism is on Sunday.,その赤ちゃんの洗礼は日曜日だ。,動詞は baptize。baptism of fire は「厳しい初体験」。,0,
E10487,1,4,blond,形容詞,金髪の,having pale yellow hair,The child has blond hair and blue eyes.,その子は金髪で青い目をしている。,女性を指すときは blonde とつづることもある。,0,
E10488,1,4,blvd,名詞,大通り,"a short written form of boulevard, a wide city street",The office is on Sunset Blvd near the park.,その事務所は公園近くのサンセット大通りにある。,boulevard の略記。住所表記で Ave や St と並んで使う。,0,
E10489,1,4,boogie,動詞,踊る、ノリよく踊る,to dance to fast popular music,Everyone started to boogie when the band played.,バンドが演奏を始めると皆が踊り出した。,音楽のジャンル名でもある。くだけた場面で使う口語。,0,
E10490,1,4,brow,名詞,額、まゆ,the part of the face above the eyes,He wiped the sweat from his brow.,彼は額の汗をぬぐった。,eyebrow は「まゆ毛」。raise an eyebrow は「意外に思う」。,0,
E10491,1,4,canton,名詞,州、行政区,"a political division of a country, especially in Switzerland",Switzerland is divided into twenty-six cantons.,スイスは二十六の州に分かれている。,スイスの州を指す語として最もよく使われる。,0,
E10492,1,4,cloudy,形容詞,曇った、濁った,"covered with clouds, or not clear",It was cloudy all weekend.,週末はずっと曇りだった。,液体が「濁った」意味にも使う。cloud の形容詞形。,0,
E10493,1,4,compassionate,形容詞,思いやりのある,feeling sympathy for people who are suffering,The nurse was patient and compassionate.,その看護師は忍耐強く思いやりがあった。,名詞は compassion。com（共に）+ passion（苦しみ）が語源。,0,
E10494,1,4,convertible,名詞,オープンカー,a car with a roof that can be folded down,They drove a red convertible along the coast.,彼らは赤いオープンカーで海岸沿いを走った。,形容詞で「変えられる」。convert（変える）が元の語。,0,
E10495,1,4,deity,名詞,神、神性,a god or goddess,Ancient Egyptians worshipped many deities.,古代エジプト人は多くの神々を崇拝した。,発音は「ディーイティ」。複数形は deities。,0,
E10496,1,4,desperation,名詞,絶望、必死さ,the feeling of having no hope and trying anything,"In desperation, she called every hospital.",必死になって彼女はすべての病院に電話した。,形容詞は desperate。in desperation の形でよく使う。,0,
E10497,1,4,diarrhea,名詞,下痢,an illness in which waste from the body is too liquid,Travelers sometimes get diarrhea from bad water.,旅行者は悪い水で下痢になることがある。,イギリス式は diarrhoea。つづりが難しいので注意。,0,
E10498,1,4,distortion,名詞,ゆがみ、歪曲,a change that makes something wrong or unclear,The report was a distortion of the facts.,その報道は事実の歪曲だった。,動詞は distort。音や映像の「ひずみ」にも使う。,0,
E10499,1,4,doctoral,形容詞,博士の、博士課程の,relating to the highest university degree,She is writing her doctoral thesis on bees.,彼女はミツバチについて博士論文を書いている。,doctoral degree は「博士号」。doctor の形容詞形。,0,
E10500,1,4,fearless,形容詞,恐れを知らない、大胆な,not afraid of anything,The fearless climber reached the top alone.,その恐れ知らずの登山家は単独で頂上に達した。,-less は「～がない」。反対語は fearful。,0,
E10501,1,4,gangster,名詞,ギャング、暴力団員,a member of a violent criminal group,The film tells the story of a young gangster.,その映画は若いギャングの物語を語る。,gang（集団）+ -ster（～する人）。犯罪組織の一員を指す。,0,
E10502,1,4,giveaway,名詞,景品、無料配布,"something given free, often to attract customers",The store held a giveaway for its opening day.,その店は開店日に景品の配布を行った。,「秘密を漏らす物」の意味もある。give away（配る）が元の形。,0,
E10503,1,4,gypsy,名詞,放浪の民、旅暮らしの人,a person who travels and does not live in one place,"He lived a gypsy life, moving every year.",彼は毎年引っ越す放浪の暮らしをしていた。,民族名としては失礼になり得るので、今は Roma が好まれる。,0,
E10504,1,4,hesitation,名詞,ためらい、躊躇,a pause before doing something because you are unsure,She agreed without any hesitation.,彼女は少しのためらいもなく同意した。,動詞は hesitate。without hesitation の形が定番。,0,
E10505,1,4,humiliation,名詞,屈辱、恥をかかせること,the feeling of being made to look foolish,Losing in the first round was a humiliation.,一回戦で負けたのは屈辱だった。,動詞は humiliate。humble（謙虚な）と同じ語源。,0,
E10506,1,4,impairment,名詞,障害、機能低下,a condition in which a part of the body works less well,The accident caused some hearing impairment.,その事故で聴覚に軽い障害が残った。,動詞は impair。visual impairment は「視覚障害」。,0,
E10507,1,4,impatient,形容詞,我慢できない、いらいらした,not willing to wait calmly,He grew impatient waiting for the bus.,彼はバスを待つうちにいらいらしてきた。,im- は否定。patient（忍耐強い）の反対語。,0,
E10508,1,4,karate,名詞,空手,a Japanese fighting sport using hands and feet,She has practiced karate since childhood.,彼女は子どもの頃から空手をやっている。,日本語から英語に入った語。judo や sumo と並ぶ。,0,
E10509,1,4,kite,名詞,たこ、凧,a light toy flown in the wind on a string,The children flew a kite on the beach.,子どもたちは浜辺でたこを揚げた。,fly a kite（たこを揚げる）の形で使う。同名の鳥もいる。,0,
E10510,1,4,lighthouse,名詞,灯台,a tower with a strong light that guides ships,The old lighthouse still warns passing ships.,その古い灯台は今も通る船に警告を送っている。,light（光）+ house（家）。海の安全を守る建物。,0,
E10511,1,4,lore,名詞,言い伝え、伝承,traditional knowledge and stories about a subject,Local lore says a giant once lived here.,地元の言い伝えでは昔ここに巨人が住んでいたという。,folklore（民間伝承）の形でよく見る。learn と同じ語源。,0,
E10512,1,4,lush,形容詞,青々とした、豊かな,growing thickly and looking green and healthy,The valley was lush after the spring rain.,春の雨の後、その谷は青々としていた。,植物の茂りに使うのが基本。豪華な内装にも比喩的に使う。,0,
E10513,1,4,luxurious,形容詞,ぜいたくな、豪華な,very comfortable and expensive,They stayed in a luxurious hotel by the sea.,彼らは海辺の豪華なホテルに泊まった。,名詞は luxury。アクセントは xu の部分に置く。,0,
E10514,1,4,mash,動詞,つぶす、すりつぶす,to crush food into a soft mixture,Mash the potatoes with a little butter.,少しのバターを入れてジャガイモをつぶしてください。,mashed potatoes（マッシュポテト）の形で最もよく使う。,0,
E10515,1,4,meg,名詞,メガバイト,an informal word for a megabyte of computer data,This photo file is about four meg.,この写真のファイルはおよそ4メガある。,megabyte の口語の短縮形。技術文書では MB と書く。,0,
E10516,1,4,meltdown,名詞,溶融事故、崩壊,"a serious failure, or the melting of a nuclear reactor",The bank faced a complete financial meltdown.,その銀行は完全な財政破綻に直面した。,原子炉事故が原義。今は「大崩壊」の比喩で広く使う。,0,
E10517,1,4,messiah,名詞,救世主,a leader believed to save people,Some voters treated him like a messiah.,一部の有権者は彼を救世主のように扱った。,宗教用語だが、比喩で「救い主のような人」にも使う。,0,
E10518,1,4,meteor,名詞,流星、いん石,a piece of rock that burns as it enters the atmosphere,We watched a meteor cross the night sky.,私たちは流星が夜空を横切るのを見た。,地上に落ちた物は meteorite。天気 meteorology とも語源が同じ。,0,
E10519,1,4,ministerial,形容詞,大臣の、閣僚級の,relating to a government minister,The ministerial meeting lasted two days.,その閣僚級会合は二日間続いた。,minister（大臣）の形容詞形。国際会議の報道でよく出る。,0,
E10520,1,4,mystical,形容詞,神秘的な,relating to spiritual powers beyond understanding,The forest had a mystical atmosphere at dawn.,その森は夜明けに神秘的な雰囲気だった。,名詞は mystic や mysticism。mystery（謎）と同じ語源。,0,
E10521,1,4,obstruction,名詞,妨害、障害物,something that blocks a path or a process,The fallen tree was an obstruction on the road.,倒れた木が道路の障害物になっていた。,動詞は obstruct。法律では「捜査妨害」の意味でも使う。,0,
E10522,1,4,odyssey,名詞,長い冒険の旅,a long journey full of experiences,Her career has been an odyssey across four countries.,彼女の経歴は四か国にまたがる長い旅だった。,ホメロスの叙事詩から。単なる旅行ではなく波乱の道のりを指す。,0,
E10523,1,4,oneself,代名詞,自分自身,the reflexive form used with the general word one,It is important to be honest with oneself.,自分自身に正直であることが大切だ。,一般論を述べる固い文で使う。会話では yourself が普通。,0,
E10524,1,4,plural,形容詞,複数の,referring to more than one thing,The plural form of child is children.,child の複数形は children だ。,反対語は singular（単数の）。文法用語として頻出。,0,
E10525,1,4,portrayal,名詞,描写、演技,the way someone or something is shown in art,Her portrayal of the queen won an award.,彼女の女王の演技は賞を取った。,動詞は portray。portrait（肖像画）と同じ語源。,0,
E10526,1,4,puff,名詞,ひと息、ひと吹き,"a small amount of air, smoke, or breath",A puff of steam rose from the kettle.,やかんからひと筋の湯気が上がった。,動詞で「息を切らす、吹かす」。cream puff は「シュークリーム」。,0,
E10527,1,4,pun,名詞,だじゃれ、語呂合わせ,a joke using words that sound alike,His speech was full of terrible puns.,彼の話はひどいだじゃれだらけだった。,日本語の「だじゃれ」に近い。動詞でも「しゃれを言う」と使う。,0,
E10528,1,4,retaliation,名詞,報復、仕返し,action taken to harm someone who harmed you,The attack was in retaliation for last week's raid.,その攻撃は先週の襲撃への報復だった。,動詞は retaliate。in retaliation for ～の形で使う。,0,
E10529,1,4,rooftop,名詞,屋上,the top surface of a building,They opened a bar on the rooftop.,彼らは屋上にバーを開いた。,roof（屋根）+ top。rooftop garden のように形容詞的にも使う。,0,
E10530,1,4,sedan,名詞,セダン型の車,a car with four doors and a separate trunk,He traded his sedan for a small truck.,彼はセダンを小型トラックと交換した。,イギリス英語では saloon と言う。車の形を表す語。,0,
E10531,1,4,sewage,名詞,下水、汚水,waste water and waste from homes and factories,The city built a new sewage treatment plant.,市は新しい下水処理場を建設した。,配管そのものは sewer。発音は「スーイジ」に近い。,0,
E10532,1,4,sitcom,名詞,シチュエーションコメディー,a funny TV series with the same characters each week,That sitcom ran for ten seasons.,そのコメディードラマは十シーズン続いた。,situation comedy の短縮形。テレビの定番ジャンル。,0,
E10533,1,4,slang,名詞,俗語、スラング,very informal words used by a particular group,Teenagers use slang their parents do not know.,十代は親の知らない俗語を使う。,数えられない名詞。試験や仕事の文書では避けるべき語。,0,
E10534,1,4,spirituality,名詞,精神性、霊性,the quality of caring about the spirit rather than things,The book explores spirituality in daily life.,その本は日常生活における精神性を探る。,形容詞は spiritual。宗教に限らず心の在り方全般を指す。,0,
E10535,1,4,suitcase,名詞,スーツケース,a rectangular bag with a handle for carrying clothes,He packed his suitcase the night before.,彼は前の晩にスーツケースに荷物を詰めた。,suit（服一式）+ case（箱）。live out of a suitcase は「旅暮らし」。,0,
E10536,1,4,telegram,名詞,電報,a message sent by wire and delivered on paper,She received a telegram announcing the birth.,彼女は出生を知らせる電報を受け取った。,tele（遠い）+ gram（書かれた物）。今はほぼ使われない通信手段。,0,
E10537,1,4,titanium,名詞,チタン,a strong light silver metal used in planes and tools,The frame is made of light titanium.,その枠は軽いチタン製だ。,元素記号は Ti。軽くてさびにくいので医療や航空で使われる。,0,
E10538,1,4,turbulence,名詞,乱気流、動揺,violent movement of air or water; social unrest,The plane hit turbulence over the mountains.,その飛行機は山の上で乱気流に入った。,形容詞は turbulent。政治や経済の「混乱」にも使う。,0,
E10539,1,4,uneven,形容詞,でこぼこの、むらのある,"not level, or not the same throughout",The old road surface is rough and uneven.,その古い路面は荒れてでこぼこだ。,un- は否定。品質の「ばらつき」の意味でも使う。,0,
E10540,1,4,urgency,名詞,緊急性、切迫,the need to deal with something immediately,There is a real urgency to fix the leak.,その水漏れを直す緊急性が実際にある。,形容詞は urgent。a sense of urgency は「危機感」。,0,
E10541,1,4,ware,名詞,製品、～器,goods of a particular kind that are made or sold,The market sells local ware from small workshops.,その市場は小さな工房の地元製品を売っている。,silverware や software のように複合語で使うことが多い。,0,
E10542,1,4,waterproof,形容詞,防水の,not allowing water to pass through,These boots are fully waterproof.,このブーツは完全に防水だ。,water（水）+ proof（通さない）。fireproof も同じ作り方。,0,
E10543,1,4,haunt,動詞,つきまとう、出没する,to keep coming back to someone's mind or place,The memory of that day still haunts him.,あの日の記憶は今も彼につきまとっている。,幽霊が出る意味も有名。haunted house は「お化け屋敷」。,0,
E10544,1,4,inmate,名詞,受刑者、収容者,a person kept in a prison or hospital,The inmates work in the prison kitchen.,受刑者たちは刑務所の調理場で働く。,刑務所や施設に入っている人を指す中立的な語。,0,
E10545,1,4,academia,名詞,学界、大学の世界,the world of universities and research,She left academia to work in industry.,彼女は学界を離れて産業界で働いた。,academic の関連語。研究者の社会全体を指す集合名詞。,0,
E10546,1,4,accreditation,名詞,認定、認可,official approval that something meets a standard,The school lost its accreditation last year.,その学校は昨年認定を失った。,動詞は accredit。credit（信用）と同じ語源を持つ。,0,
E10547,1,4,aforementioned,形容詞,前述の,mentioned earlier in the same document,The aforementioned rules apply to all staff.,前述の規則は全職員に適用される。,契約書や報告書で使う固い語。afore は古語の before。,0,
E10548,1,4,algae,名詞,藻類,simple plants that grow in water,Green algae covered the surface of the pond.,緑の藻が池の表面を覆っていた。,複数形の語で、単数は alga。発音は「アルジー」に近い。,0,
E10549,1,4,asbestos,名詞,石綿、アスベスト,a harmful gray material once used in buildings,Workers removed the asbestos from the ceiling.,作業員が天井から石綿を取り除いた。,健康被害が知られ、多くの国で使用が禁止されている。,0,
E10550,1,4,avoidance,名詞,回避,the act of keeping away from something,"Tax avoidance is legal, but evasion is not.",節税は合法だが脱税は違法だ。,動詞は avoid。avoidance（合法の回避）と evasion（違法）を区別する。,0,
E10551,1,4,brewer,名詞,醸造業者,a person or company that makes beer,The local brewer won a national prize.,その地元の醸造業者は全国的な賞を取った。,動詞は brew。工場は brewery、コーヒーをいれるのも brew。,0,
E10552,1,4,buffet,名詞,ビュッフェ、立食形式の食事,a meal where people serve themselves from a table,The hotel serves a breakfast buffet until ten.,そのホテルは十時まで朝食ビュッフェを出す。,発音は「ブフェイ」。動詞の buffet は「打ちつける」で発音が違う。,0,
E10553,1,4,chassis,名詞,車台、シャーシ,the frame that supports a vehicle or machine,The chassis was damaged in the crash.,その衝突で車台が損傷した。,最後の s は発音せず「シャシー」。単複同形の語。,0,
E10554,1,4,clap,動詞,拍手する,to hit your hands together to show you like something,The audience clapped for a long time.,観客は長い間拍手した。,名詞で「拍手」や「雷鳴」。applaud はより固い言い方。,0,
E10555,1,4,clarification,名詞,説明、明確化,an explanation that makes something easier to understand,I asked for clarification of the new rule.,私は新しい規則の説明を求めた。,動詞は clarify。会議やメールで丁寧に確認するときに使う。,0,
E10556,1,4,consolation,名詞,慰め,something that makes you feel better after a loss,It was some consolation that no one was hurt.,誰もけがをしなかったのがせめてもの慰めだった。,動詞は console。consolation prize は「残念賞」。,0,
E10557,1,4,descriptive,形容詞,描写的な、説明的な,describing something in detail,The report is descriptive rather than critical.,その報告書は批判的というより描写的だ。,動詞は describe、名詞は description。文体の説明で使う。,0,
E10558,1,4,downfall,名詞,没落、失脚の原因,"the loss of power or success, or its cause",Greed led to his downfall.,強欲が彼の没落を招いた。,「その人をだめにした原因」を指すことも多い。,0,
E10559,1,4,dunk,動詞,浸す、ダンクする,"to put food briefly into a drink, or to push a ball down",He dunked a cookie into his coffee.,彼はクッキーをコーヒーに浸した。,バスケットボールの「ダンクシュート」もこの語。,0,
E10560,1,4,empowerment,名詞,権限付与、力を与えること,the process of giving people more control over their lives,The program focuses on the empowerment of women.,その計画は女性への力の付与に重点を置いている。,動詞は empower。em- は「～にする」を表す接頭辞。,0,
E10561,1,4,ethic,名詞,倫理観、道徳観,a set of beliefs about what is right,She has a strong work ethic.,彼女は強い労働倫理を持っている。,複数形の ethics は「倫理学」や「倫理規定」を指す。,0,
E10562,1,4,flair,名詞,才能、センス,a natural ability to do something well,He has a flair for designing posters.,彼はポスターの設計に才能がある。,have a flair for ～の形で使う。flare（燃え上がる）と混同注意。,0,
E10563,1,4,fugitive,名詞,逃亡者,a person who is running away from the police,The fugitive was caught near the border.,その逃亡者は国境近くで捕まった。,ラテン語の「逃げる」が語源。形容詞では「はかない」の意味もある。,0,
E10564,1,4,headset,名詞,ヘッドセット,headphones with a microphone attached,She wore a headset during the online meeting.,彼女はオンライン会議中にヘッドセットを着けていた。,マイク付きの物を指す。音を聞くだけなら headphones。,0,
E10565,1,4,homecoming,名詞,帰郷、同窓会行事,"a return home, or a school celebration for old students",The soldier's homecoming moved the whole town.,その兵士の帰郷は町全体を感動させた。,アメリカの学校では秋の同窓会行事を指すことが多い。,0,
E10566,1,4,icy,形容詞,凍った、冷淡な,"covered with ice, or very unfriendly",Drive slowly on the icy roads.,凍った道ではゆっくり運転してください。,ice の形容詞形。人の態度が「冷たい」意味にも使う。,0,
E10567,1,4,intuition,名詞,直感,the ability to know something without proof,Her intuition told her something was wrong.,彼女の直感は何かがおかしいと告げていた。,形容詞は intuitive。trust your intuition の形でよく使う。,0,
E10568,1,4,invaluable,形容詞,きわめて貴重な,extremely useful and important,Your advice was invaluable to the team.,あなたの助言はチームにとってきわめて貴重でした。,in- が付くが「価値がない」ではない。valueless が反対語。,0,
E10569,1,4,methane,名詞,メタン,a gas with no color that burns easily,Cattle produce large amounts of methane.,牛は大量のメタンを出す。,化学式は CH4。温室効果ガスの話題でよく出る。,0,
E10570,1,4,misuse,名詞,誤用、悪用,the use of something in a wrong or harmful way,The report warns about the misuse of data.,その報告書はデータの悪用について警告している。,mis- は「誤って」。動詞では最後の s を濁って発音する。,0,
E10571,1,4,neurological,形容詞,神経の、神経学の,relating to the nerves and the brain,The patient saw a neurological specialist.,その患者は神経科の専門医に診てもらった。,neuro- は「神経」。名詞は neurology、医師は neurologist。,0,
E10572,1,4,optimum,名詞,最適条件、最善,the best possible level or condition,Twenty degrees is the optimum for this plant.,二十度がこの植物にとって最適だ。,形容詞としても使う。optimal はほぼ同じ意味の語。,0,
E10573,1,4,physiological,形容詞,生理的な、生理学の,relating to how the body works,Stress causes physiological changes in the body.,ストレスは体に生理的な変化を起こす。,psychological（心理的な）と区別すること。名詞は physiology。,0,
E10574,1,4,policemen,名詞,警察官たち,men whose job is to keep public order,Two policemen guarded the entrance.,二人の警察官が入り口を守っていた。,policeman の複数形。今は police officers が好まれる。,0,
E10575,1,4,prominence,名詞,目立つこと、名声,the state of being important or well known,The issue rose to prominence after the report.,その報告の後、問題が注目を集めるようになった。,形容詞は prominent。rise to prominence の形で使う。,0,
E10576,1,4,restrictive,形容詞,制限的な、窮屈な,limiting what people are allowed to do,The contract has restrictive conditions.,その契約には制限的な条件がある。,動詞は restrict、名詞は restriction。規則の厳しさを表す。,0,
E10577,1,4,robotic,形容詞,ロボットの、機械的な,"relating to robots, or stiff like a machine",The factory uses robotic arms for welding.,その工場は溶接にロボットアームを使う。,人の動きや声が「無機質な」意味でも使う。,0,
E10578,1,4,runaway,形容詞,暴走した、家出の,"out of control, or having escaped from home",The film was a runaway success worldwide.,その映画は世界的に爆発的な成功を収めた。,名詞で「家出人」。run away（逃げる）が元の形。,0,
E10579,1,4,screenplay,名詞,脚本、映画の台本,the written text of a film,He wrote the screenplay in three months.,彼は三か月でその脚本を書き上げた。,書く人は screenwriter。舞台の台本は script や play。,0,
E10580,1,4,sect,名詞,宗派、分派,a small religious group that has left a larger one,The sect follows its own strict rules.,その宗派は独自の厳しい規則に従っている。,section と同じ語源で「切り分けられた物」の意味。,0,
E10581,1,4,seismic,形容詞,地震の、重大な,relating to earthquakes; very large in effect,Engineers checked the building for seismic safety.,技術者たちは建物の耐震性を点検した。,発音は「サイズミック」。比喩で「地殻変動的な」の意味にも使う。,0,
E10582,1,4,seminary,名詞,神学校,a college that trains people to be priests,He studied theology at a small seminary.,彼は小さな神学校で神学を学んだ。,seminar（研究会）と語源は同じだが意味は別なので注意。,0,
E10583,1,4,stash,動詞,しまい込む、隠す,to store something safely in a hidden place,She stashed the spare key under a rock.,彼女は予備の鍵を石の下に隠した。,名詞で「隠した物、蓄え」。口語でよく使う。,0,
E10584,1,4,stroll,動詞,ぶらぶら歩く,to walk slowly in a relaxed way,We strolled through the park after dinner.,私たちは夕食後に公園をぶらぶら歩いた。,名詞でも使い go for a stroll（散歩に行く）の形が定番。,0,
E10585,1,4,transcription,名詞,書き起こし、転写,a written copy of spoken words,The transcription of the interview took hours.,その面談の書き起こしには何時間もかかった。,動詞は transcribe。生物学では「遺伝情報の転写」も指す。,0,
E10586,1,4,unicorn,名詞,一角獣、ユニコーン,an imaginary horse with one horn on its head,The child drew a pink unicorn.,その子はピンクのユニコーンを描いた。,uni（一つ）+ corn（角）。近年は高評価の新興企業も指す。,0,
E10587,1,4,vat,名詞,大おけ、大型容器,a very large container for liquids,The wine ages in a wooden vat.,そのワインは木のおけの中で熟成する。,醸造や染色で使う容器。ヨーロッパでは付加価値税の略でもある。,0,
E10588,1,4,vomit,動詞,吐く、嘔吐する,to bring food up from the stomach through the mouth,He felt sick and had to vomit.,彼は気分が悪くなって吐かなければならなかった。,口語では throw up。名詞では「吐いた物」を指す。,0,
E10589,1,4,weave,動詞,織る、縫うように進む,to make cloth by crossing threads,They weave cloth on traditional wooden looms.,彼らは伝統的な木の織機で布を織る。,過去形は wove。人ごみを「縫って進む」意味にも使う。,0,
E10590,1,4,adobe,名詞,日干しれんが,a building material made of clay dried in the sun,The old church has thick adobe walls.,その古い教会は厚い日干しれんがの壁を持つ。,スペイン語から。乾燥した地域の伝統的な建築材料。,0,
E10591,1,4,asphalt,名詞,アスファルト,a black sticky material used to make road surfaces,Workers laid fresh asphalt on the highway.,作業員が幹線道路に新しいアスファルトを敷いた。,発音は「アスフォルト」に近い。舗装の話で使う。,0,
E10592,1,4,backbone,名詞,背骨、屋台骨,"the spine, or the main support of something",Small farms are the backbone of this region.,小規模農家がこの地域の屋台骨だ。,比喩で「中心的な支え」や「気骨」の意味でよく使う。,0,
E10593,1,4,blizzard,名詞,猛吹雪,a snowstorm with very strong wind,The blizzard closed the mountain roads.,猛吹雪で山道が閉鎖された。,単なる雪ではなく強風を伴う嵐。比喩で「殺到」の意味もある。,0,
E10594,1,4,booklet,名詞,小冊子,a very thin book with information,The museum gives visitors a free booklet.,その博物館は来館者に無料の小冊子を渡す。,-let は「小さい」を表す接尾辞。leaflet も同じ作り。,0,
E10595,1,4,brawl,名詞,乱闘、けんか,a noisy fight involving several people,A brawl broke out outside the stadium.,競技場の外で乱闘が起きた。,動詞でも使う。二人の口論より人数が多く騒がしい場面。,0,
E10596,1,4,characterization,名詞,性格描写、特徴づけ,the way a writer shows what a person is like,The novel is praised for its characterization.,その小説は人物描写で高く評価されている。,動詞は characterize。文学の批評で頻出する語。,0,
