登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E1199,1,1,file,名詞,ファイル、書類,a set of data with a name,The file is 3 MB.,そのファイルは3MBある。,動詞では「（書類を）提出する」。
E1200,1,1,data,名詞,データ,information in a form a computer can use,The data is stored in a database.,データはデータベースに入っている。,本来は複数形。いまは単数扱いがふつう。
E1201,1,1,record,名詞,記録,a written account of facts,Keep a record of every change.,変更はすべて記録に残してください。,動詞は「レコード」ではなく「リコード」と発音が変わる。
E1202,1,1,test,名詞,試験、検査,a way of checking something,The test found two defects.,その試験で欠陥が2件見つかった。,動詞でも同じ形。
E1203,1,1,date,名詞,日付,a particular day,Write the date in this format.,日付はこの形式で書いてください。,up to date は「最新の」。
E1204,1,1,form,名詞,形、書式、申込用紙,"a shape, or a printed document",Fill in the form and send it back.,用紙に記入して送り返してください。,in the form of は「～という形で」。
E1205,1,1,good,形容詞,よい,of a high quality,That is a good way to check it.,それは確かめるのによいやり方だ。,比較級は better、最上級は best。
E1206,1,1,new,形容詞,新しい,recently made or begun,The new version fixed the bug.,新しい版でその不具合が直った。,brand-new は「新品の」。
E1207,1,1,first,形容詞,最初の,coming before all others,The first step is to take a backup.,最初にすることは控えを取ることだ。,at first は「はじめのうちは」。
E1208,1,1,last,形容詞,最後の、この前の,"final, or most recent",The last check failed.,最後の確認で引っかかった。,動詞では「続く」（The meeting lasted an hour）。
E1209,1,1,long,形容詞,長い,measuring a great distance or time,It takes a long time to finish.,終わるまでに長い時間がかかる。,as long as は「～する限り」。
E1210,1,1,great,形容詞,すばらしい、大きな,"very good, or very large",That is a great improvement.,それは大きな改善だ。,口語では「よかったね」の相づちにも使う。
E1211,1,1,little,形容詞,小さい、少しの,small in size or amount,We have little time left.,残り時間がほとんどない。,a little（少しある）と little（ほとんどない）で意味が逆。
E1212,1,1,own,形容詞,自分自身の,belonging to oneself,"Use your own account, not a shared one.",共有ではなく自分のアカウントを使って。,動詞では「所有する」。
E1213,1,1,other,形容詞,ほかの,different from the one mentioned,Check the other folder as well.,もう一方のフォルダも確かめて。,the other（残りの一方）と another（もう1つ）を区別。
E1214,1,1,old,形容詞,古い、年をとった,having lived or existed a long time,Delete the old backups every month.,古い控えは毎月消してください。,How old are you? は年齢を聞く決まり文句。
E1215,1,1,right,形容詞,正しい、右の,"correct, or the opposite of left",You are right about the cause.,原因についてはあなたが正しい。,名詞では「権利」。
E1216,1,1,big,形容詞,大きい,large in size,That is a big change.,それは大きな変更だ。,large より口語的。
E1217,1,1,high,形容詞,高い,"far above the ground, or great in amount",The error rate is still high.,エラー率はまだ高い。,値段が「高い」は expensive を使う。
E1218,1,1,different,形容詞,異なる,not the same,The result was different this time.,今回は結果が違った。,different from が基本（米語では than も）。
E1219,1,1,small,形容詞,小さい,little in size,It is a small but useful change.,小さいが役に立つ変更だ。,big の反対。
E1220,1,1,large,形容詞,大きい、多量の,big in size or amount,A large number of files were changed.,多数のファイルが変わった。,a large number of は「多数の」。
E1221,1,1,next,形容詞,次の,coming immediately after,The next release is in October.,次のリリースは10月だ。,next week に前置詞は付けない。
E1222,1,1,early,形容詞,早い（時期が）,before the usual time,We found it at an early stage.,早い段階で気づけた。,「速い」は fast。early は時期の早さ。
E1223,1,1,young,形容詞,若い,not old,The tool is popular with younger staff.,その道具は若い人に人気だ。,old の反対。
E1224,1,1,important,形容詞,重要な,having great value,This is an important point.,これは重要な点だ。,It is important to 動詞 の形が便利。
E1225,1,1,few,形容詞,ほとんどない、少数の,not many,A few people noticed the change.,何人かはその変更に気づいた。,a few（少しある）と few（ほとんどない）で意味が逆。
E1226,1,1,public,形容詞,公の、公開の,open to everyone,Do not put it in a public folder.,公開フォルダには置かないで。,private の反対。
E1227,1,1,bad,形容詞,悪い,not good,It is not a bad idea.,悪くない考えだ。,比較級は worse、最上級は worst。
E1228,1,1,same,形容詞,同じ,not different,The same error happened twice.,同じエラーが2回起きた。,必ず the が付く。the same as ～。
E1229,1,1,able,形容詞,～できる,having the power to do something,We were able to fix it in an hour.,1時間で直すことができた。,be able to 動詞。can より丁寧・硬い。
E1230,1,1,local,形容詞,地元の、その場の,of a particular area,Save it to a local drive first.,まずローカルのドライブに保存して。,IT では「手元の端末の」の意味。
E1231,1,1,sure,形容詞,確信して,certain,Are you sure about that number?,その数字は確かですか。,make sure は「確かめる」。
E1232,1,1,clear,形容詞,はっきりした、澄んだ,easy to see or understand,The instructions are not clear.,その指示ははっきりしない。,動詞では「片づける、消す」。
E1233,1,1,free,形容詞,自由な、無料の,"not costing money, or not restricted",The tool is free for internal use.,その道具は社内なら無料で使える。,free of charge は「無料で」。
E1234,1,1,simple,形容詞,簡単な、単純な,not complicated,Keep the setting as simple as possible.,設定はできるだけ簡単にしておいて。,easy（やさしい）と simple（単純）は少し違う。
E1235,1,1,full,形容詞,いっぱいの、完全な,holding as much as possible,The disk is almost full.,ディスクがほぼいっぱいだ。,full of ～（～でいっぱい）。
E1236,1,1,real,形容詞,本当の、実際の,actually existing,Let us test with real data.,実際のデータで試そう。,real time は「実時間、リアルタイム」。
E1237,1,1,possible,形容詞,可能な,able to happen,It is possible to run it twice.,2回動かすこともできる。,as soon as possible（できるだけ早く）。
E1238,1,1,available,形容詞,利用できる、手が空いている,able to be used or obtained,The report will be available tomorrow.,報告書は明日出せます。,人にも使える（Are you available at three?）。
E1239,1,1,similar,形容詞,似ている,almost the same,We had a similar problem last year.,去年も似た問題があった。,similar to ～。
E1240,1,1,difficult,形容詞,難しい,not easy,The cause was difficult to find.,原因を見つけるのが難しかった。,hard より硬い言い方。
E1241,1,1,recent,形容詞,最近の,happening a short time ago,Check the recent changes.,最近の変更を確かめて。,副詞は recently（最近）。
E1242,1,1,common,形容詞,共通の、よくある,"shared, or happening often",This is a common mistake.,これはよくある間違いだ。,in common は「共通して」。
E1243,1,1,main,形容詞,主な,most important,The main cause was a typo.,主な原因は打ち間違いだった。,mainly は「主に」。
E1244,1,1,single,形容詞,たった1つの、独身の,only one,A single file broke the build.,たった1つのファイルでビルドが壊れた。,not a single ～ は「1つも～ない」。
E1245,1,1,special,形容詞,特別な,not ordinary,No special setting is needed.,特別な設定は要らない。,特殊文字は special characters。
E1246,1,1,current,形容詞,現在の,happening now,What is the current version?,いまの版はいくつですか。,名詞では「電流、流れ」。
E1247,1,1,certain,形容詞,確かな、ある一定の,"sure, or particular",It fails under certain conditions.,ある条件のもとで失敗する。,a certain ～ は「ある～」。
E1248,1,1,whole,形容詞,全体の,complete,It took the whole afternoon.,午後いっぱいかかった。,on the whole は「全体として」。
E1249,1,1,hard,形容詞,難しい、固い,"difficult, or not soft",It is hard to say without the log.,ログが無いと何とも言えない。,副詞では「熱心に」（work hard）。
E1250,1,1,easy,形容詞,やさしい、楽な,not difficult,The screen is easy to read.,その画面は読みやすい。,take it easy は「気楽にね」。
E1251,1,1,often,副詞,しばしば、よく,many times,This happens more often than I thought.,これは思ったよりよく起こる。,頻度は always > often > sometimes > rarely。
E1252,1,1,always,副詞,いつも,at all times,Always take a backup first.,必ず先に控えを取ってください。,not always は「いつも～とは限らない」。
E1253,1,1,never,副詞,決して～ない,at no time,I have never seen this error.,このエラーは見たことがない。,それだけで否定なので not は要らない。
E1254,1,1,really,副詞,本当に,"actually, or very",Do we really need this step?,この手順は本当に必要ですか。,口語で強調によく使う。
E1255,1,1,almost,副詞,ほとんど,nearly,The work is almost done.,作業はほぼ終わった。,almost all（ほとんど全部）。almost の後に of は付けない。
E1256,1,1,already,副詞,すでに,before now,I have already sent the file.,そのファイルはもう送りました。,肯定文で使う。疑問文は yet が基本。
E1257,1,1,still,副詞,まだ、それでも,continuing until now,The bug is still there.,その不具合はまだ残っている。,文中の位置に注意（be動詞の後、一般動詞の前）。
E1258,1,1,together,副詞,一緒に,with each other,Let us look at it together.,一緒に見てみましょう。,put together は「まとめる」。
E1259,1,1,however,副詞,しかしながら,but,"However, the result was the same.",しかし、結果は同じだった。,but より硬い。文頭でカンマを付ける。
E1260,1,1,instead,副詞,その代わりに,in place of something,Use the new script instead.,代わりに新しいスクリプトを使って。,instead of ～ は「～の代わりに」。
E1261,1,1,perhaps,副詞,たぶん、おそらく,possibly,Perhaps the setting is wrong.,たぶん設定が間違っている。,maybe よりやや硬い。
E1262,1,1,finally,副詞,ついに、最後に,at last,"Finally, save and close the file.",最後に、保存して閉じてください。,手順の最後を示すのに便利。
E1263,1,1,quickly,副詞,すばやく,fast,The list loads quickly now.,一覧がすぐ出るようになった。,quick（形容詞）＋ -ly。
E1264,1,1,clearly,副詞,はっきりと,in a way that is easy to see,Please write it clearly.,はっきり書いてください。,文全体を修飾すると「明らかに」。
E1265,1,1,about,前置詞,～について、およそ,"on the subject of, or approximately",It takes about ten minutes.,10分ほどかかる。,「およそ」の意味でも非常によく使う。
E1266,1,1,through,前置詞,～を通って、～を通じて,from one side to the other,We found it through the log.,ログを通じてそれが分かった。,発音は「スルー」。綴りに注意。
E1267,1,1,during,前置詞,～の間ずっと,throughout a period,Do not close it during the update.,更新中は閉じないでください。,期間の長さは for、いつかは during。
E1268,1,1,between,前置詞,～の間に（2つ）,in the space separating two things,The difference between the two is small.,その2つの違いは小さい。,3つ以上は among。
E1269,1,1,among,前置詞,～の中で（3つ以上）,surrounded by,It is popular among new members.,それは新しい人たちの間で人気だ。,between との使い分けを覚える。
E1270,1,1,without,前置詞,～なしで,not having something,It runs without an internet connection.,ネットにつながっていなくても動く。,without -ing で「～せずに」。
E1271,1,1,within,前置詞,～以内に,inside a period or limit,Reply within two business days.,2営業日以内に返事をください。,in（～後に）と within（～以内に）は別。
E1272,1,1,against,前置詞,～に対して、～に反対して,in opposition to,Check the value against the master.,その値を台帳と突き合わせて。,check A against B は「照合する」。
E1273,1,1,although,接続詞,～だけれども,in spite of the fact that,"Although it works, it is slow.",動きはするが、遅い。,though より硬い。文頭で使いやすい。
E1274,1,1,because,接続詞,～だから,for the reason that,It failed because the path was wrong.,パスが違っていたので失敗した。,because of + 名詞（because of the rain）。
E1275,1,1,while,接続詞,～する間に、一方で,during the time that,Do not touch it while it is running.,動いている間は触らないで。,「一方で」の対比の意味もある。
E1276,1,1,since,接続詞,～以来、～なので,"from a time in the past, or because",It has worked since last April.,去年の4月から動いている。,現在完了と一緒に使うことが多い。
E1277,1,1,until,接続詞,～まで,up to the time that,Wait until it finishes.,終わるまで待ってください。,till も同じ意味（till はくだけた形）。
E1278,1,1,unless,接続詞,～でない限り,except if,Do not restart unless it hangs.,固まらない限り再起動しないで。,if not とほぼ同じ意味。
E1279,1,1,whether,接続詞,～かどうか,if something is true or not,I do not know whether it works.,それが動くかどうか分からない。,whether A or B（A か B か）。
E1280,1,1,increase,動詞,増える、増やす,to become or make larger,The number increased by ten percent.,その数は1割増えた。,名詞では強勢が前に移る（インクリース）。
E1281,1,1,reduce,動詞,減らす,to make smaller,We reduced the run time by half.,処理時間を半分に減らした。,increase の反対。
E1282,1,1,improve,動詞,改善する、よくなる,to make or become better,The screen improved a lot.,画面がずいぶんよくなった。,名詞は improvement。
E1283,1,1,manage,動詞,管理する、なんとかやる,"to control, or to succeed in doing",I managed to finish it today.,なんとか今日中に終えられた。,manage to 動詞 は「どうにか～する」。
E1284,1,1,control,動詞,制御する、管理する,to have power over something,This file controls the settings.,このファイルが設定を握っている。,under control は「制御できている」。
E1285,1,1,produce,動詞,生産する、生み出す,to make or create,The script produces a CSV file.,そのスクリプトは CSV を出力する。,名詞では強勢が前（プロデュース）。
E1286,1,1,design,動詞,設計する,to plan how something will look or work,We designed it for one person.,1人で使う前提で設計した。,名詞でも同じ形（設計、意匠）。
E1287,1,1,release,動詞,解放する、公開する,"to let go, or to make available",We released version 1.2 today.,今日 1.2 版を出した。,名詞では「リリース、公開」。
E1288,1,1,update,動詞,更新する,to make something more modern or correct,Update the manual when you change it.,直したら手引書も更新して。,名詞でも同じ形。
E1289,1,1,install,動詞,設置する、導入する,to put software or equipment in place,Install it under the Public folder.,パブリックの下に入れてください。,名詞は installation。
E1290,1,1,connect,動詞,つなぐ,to join two things,Connect the cable before you start.,始める前にケーブルをつないで。,connect A to B。名詞は connection。
E1291,1,1,prepare,動詞,準備する,to get ready,Prepare the data before the meeting.,会議の前にデータを用意して。,prepare for ～（～に備える）。
E1292,1,1,compare,動詞,比べる,to look at differences and similarities,Compare the two files line by line.,その2つのファイルを1行ずつ比べて。,compare A with B が基本。
E1293,1,1,select,動詞,選ぶ,to choose,Select the rows you want to delete.,消したい行を選んでください。,choose より硬い。SQL の SELECT も同じ語。
E1294,1,1,delete,動詞,削除する,to remove something,Delete the temporary files.,一時ファイルを消してください。,名詞は deletion。
E1295,1,1,save,動詞,保存する、節約する,"to keep, or to use less",Save the file before you close it.,閉じる前に保存してください。,save time／save money（節約する）。
E1296,1,1,share,動詞,共有する、分け合う,to use or have together,We share the folder with the team.,そのフォルダはチームで共有している。,share A with B。
E1297,1,1,solve,動詞,解決する,to find an answer to a problem,That solved the problem.,それで問題が解決した。,名詞は solution。
E1298,1,1,avoid,動詞,避ける,to keep away from,Avoid using spaces in file names.,ファイル名に空白を使うのは避けて。,avoid -ing。to 動詞は取らない。
E1299,1,1,expect,動詞,予想する、期待する,to think something will happen,I expect it to finish by noon.,昼までには終わると思う。,expect 人 to 動詞。
E1300,1,1,realize,動詞,気づく、実現する,to become aware of,I realized my mistake too late.,自分の間違いに気づくのが遅かった。,英国式の綴りは realise。
